presupuesto_usd,deadline_dias,tipo_servicio,infraestructura_cloud,horas_hombre
12584.24,143,Plataforma_SaaS,1,496.6
4635.87,112,App_Movil,1,207.0
16074.39,101,Plataforma_SaaS,1,637.6
1832.99,141,Sitio_Web,0,138.9
1625.94,74,Sitio_Web,0,100.3
2284.75,153,Sitio_Web,1,105.8
1226.51,165,Sitio_Web,0,86.8
3768.79,134,Sitio_Web,0,239.7
3576.65,169,Sitio_Web,0,232.5
19737.17,91,Plataforma_SaaS,1,810.4
1139.88,165,Sitio_Web,0,75.5
3282.81,89,Sitio_Web,0,193.5
10271.62,101,App_Movil,1,460.2
3256.85,38,Sitio_Web,0,192.5
9051.39,72,Plataforma_SaaS,0,430.4
2860.51,122,Sitio_Web,0,184.0
22017.85,144,Plataforma_SaaS,0,1056.9
17392.36,136,Plataforma_SaaS,1,705.4
2868.5,66,Sitio_Web,0,178.9
2266.76,23,Sitio_Web,0,125.0
16516.73,102,Plataforma_SaaS,1,643.5
3309.39,150,App_Movil,1,136.6
8750.67,22,App_Movil,1,389.5
8466.05,52,Plataforma_SaaS,0,407.7
2192.05,173,Sitio_Web,0,125.0
1736.5,165,Sitio_Web,1,93.9
2545.37,113,Sitio_Web,1,122.0
9401.49,94,Plataforma_SaaS,0,453.8
9224.79,135,App_Movil,0,499.3
3344.04,145,Sitio_Web,0,218.0
1322.73,125,Sitio_Web,1,56.4
1133.8,91,Sitio_Web,0,90.1
1265.65,10,Sitio_Web,0,70.0
10894.15,77,App_Movil,0,574.9
7753.7,160,App_Movil,1,346.7
15410.7,117,Plataforma_SaaS,1,648.8
3960.41,56,App_Movil,0,222.8
2878.58,146,Sitio_Web,1,150.0
10812.0,101,App_Movil,1,494.5
21907.35,98,Plataforma_SaaS,0,1043.9
8634.49,71,App_Movil,0,469.5
8355.02,53,Plataforma_SaaS,0,401.1
4011.57,112,App_Movil,1,198.6
3443.78,136,App_Movil,0,184.9
5317.31,112,App_Movil,1,235.5
1234.12,30,Sitio_Web,1,50.1
1632.15,10,Sitio_Web,0,99.3
2032.19,114,Sitio_Web,1,104.5
11486.85,25,App_Movil,0,608.3
2753.2,160,Sitio_Web,0,169.7
10514.76,46,App_Movil,1,475.5
19786.33,56,Plataforma_SaaS,1,801.6
1160.01,177,Sitio_Web,0,81.7
9623.28,81,App_Movil,1,434.0
11951.78,18,Plataforma_SaaS,1,467.7
2845.15,33,Sitio_Web,0,162.4
1891.08,119,Sitio_Web,1,112.2
3992.55,55,Sitio_Web,0,241.2
1643.36,150,Sitio_Web,0,116.1
12024.35,136,Plataforma_SaaS,0,582.2
23752.1,66,Plataforma_SaaS,1,957.6
3221.8,36,App_Movil,1,154.4
19540.4,90,Plataforma_SaaS,0,925.7
20055.88,172,Plataforma_SaaS,0,965.8
3476.41,34,Sitio_Web,1,161.5
24539.91,31,Plataforma_SaaS,0,1175.1
11780.42,102,App_Movil,1,536.5
8174.98,131,Plataforma_SaaS,1,316.7
21793.11,16,Plataforma_SaaS,0,1051.7
2868.19,48,Sitio_Web,1,128.4
2871.49,46,Sitio_Web,0,183.7
1210.72,83,Sitio_Web,1,53.9
8851.68,111,App_Movil,1,388.1
24684.69,124,Plataforma_SaaS,1,973.0
23412.73,48,Plataforma_SaaS,0,1118.0
2205.22,53,Sitio_Web,1,91.2
3359.53,171,App_Movil,0,175.9
6260.64,28,App_Movil,0,349.1
3444.45,113,Sitio_Web,0,204.8
3044.8,33,Sitio_Web,0,170.9
2269.9,47,Sitio_Web,0,138.5
7991.83,86,Plataforma_SaaS,1,321.1
2166.06,168,Sitio_Web,1,127.9
7221.22,166,App_Movil,0,397.9
11357.0,95,App_Movil,1,514.1
2851.48,72,Sitio_Web,0,180.1
12609.75,18,Plataforma_SaaS,1,503.0
16455.73,174,Plataforma_SaaS,1,657.5
1011.38,79,Sitio_Web,0,77.3
11753.11,82,App_Movil,1,512.5
1952.19,96,Sitio_Web,0,126.8
2329.18,16,Sitio_Web,0,138.6
1936.91,102,Sitio_Web,1,93.9
9142.61,26,App_Movil,0,488.2
8960.09,45,App_Movil,0,485.4
3089.03,66,Sitio_Web,0,184.9
1658.06,72,Sitio_Web,1,78.8
12682.03,71,Plataforma_SaaS,0,601.7
1200.8,130,Sitio_Web,0,53.0
2897.63,170,Sitio_Web,1,137.6
3358.17,158,App_Movil,1,146.0
17758.28,161,Plataforma_SaaS,0,853.9
3583.03,136,Sitio_Web,0,234.6
11017.49,165,App_Movil,0,588.8
15082.68,63,Plataforma_SaaS,0,713.7
2269.77,84,Sitio_Web,0,129.0
3692.72,35,App_Movil,1,167.7
2946.45,21,Sitio_Web,1,153.2
10391.33,18,App_Movil,1,474.9
5201.9,107,App_Movil,0,289.2
6791.71,162,App_Movil,1,315.3
3484.29,90,Sitio_Web,0,206.3
22788.17,131,Plataforma_SaaS,1,932.1
1578.18,109,Sitio_Web,1,75.4
2561.83,30,Sitio_Web,0,154.8
1415.98,155,Sitio_Web,1,83.8
3916.91,144,App_Movil,0,217.2
11200.08,116,App_Movil,1,481.6
3425.62,84,Sitio_Web,0,205.6
9840.31,107,App_Movil,0,540.0
956.05,152,Sitio_Web,1,34.4
10593.56,148,App_Movil,0,579.6
2201.74,168,Sitio_Web,1,114.0
6081.56,134,App_Movil,0,340.2
2548.72,64,Sitio_Web,1,120.5
8644.36,82,Plataforma_SaaS,1,355.7
3221.27,156,Sitio_Web,0,194.9
2663.79,42,Sitio_Web,0,177.5
1397.09,179,Sitio_Web,0,111.7
10388.18,170,Plataforma_SaaS,0,514.0
10316.48,28,Plataforma_SaaS,0,500.0
982.41,133,Sitio_Web,1,72.3
8290.19,86,App_Movil,1,379.1
22126.27,106,Plataforma_SaaS,1,876.0
3157.48,102,App_Movil,1,141.7
3441.04,167,App_Movil,1,162.5
2632.86,179,Sitio_Web,1,139.9
3422.39,170,Sitio_Web,0,194.1
12881.3,154,Plataforma_SaaS,1,504.3
13293.06,24,Plataforma_SaaS,1,528.3
8367.12,44,App_Movil,0,457.2
1677.48,157,Sitio_Web,0,107.3
885.15,115,Sitio_Web,0,54.5
9617.06,129,App_Movil,0,511.0
18261.7,150,Plataforma_SaaS,1,747.8
17453.61,155,Plataforma_SaaS,0,827.1
20350.31,110,Plataforma_SaaS,0,989.8
9077.08,146,App_Movil,1,415.9
1458.82,150,Sitio_Web,0,100.3
1927.94,87,Sitio_Web,0,111.2
9269.98,93,Plataforma_SaaS,0,443.5
4168.71,148,App_Movil,1,188.1
2963.83,67,Sitio_Web,1,143.4
3547.52,52,Sitio_Web,0,215.1
11664.59,38,App_Movil,1,540.7
2810.71,21,Sitio_Web,0,155.7
1389.12,50,Sitio_Web,1,62.9
3950.85,151,App_Movil,1,170.1
10315.66,175,App_Movil,1,463.3
8208.81,60,App_Movil,0,441.9
2778.51,50,Sitio_Web,1,146.6
10033.16,104,App_Movil,1,451.8
3050.49,11,Sitio_Web,0,186.1
3470.27,115,Sitio_Web,1,177.5
3505.93,33,App_Movil,0,191.8
9727.69,122,App_Movil,1,444.8
22315.35,93,Plataforma_SaaS,0,1069.9
5575.22,110,App_Movil,1,267.3
8764.03,129,App_Movil,0,498.7
1805.32,85,Sitio_Web,0,115.4
3865.51,49,Sitio_Web,0,234.2
906.96,103,Sitio_Web,0,60.7
2655.34,37,Sitio_Web,0,148.3
9997.06,105,Plataforma_SaaS,0,481.7
3079.1,23,Sitio_Web,0,177.4
10166.03,89,Plataforma_SaaS,0,493.1
5118.45,116,App_Movil,0,269.1
15898.67,38,Plataforma_SaaS,1,632.5
11233.51,174,App_Movil,0,587.9
4905.43,147,App_Movil,1,209.0
4298.16,41,App_Movil,1,197.0
3228.73,139,Sitio_Web,1,152.7
7505.58,35,App_Movil,0,415.9
3717.71,76,Sitio_Web,1,176.3
1269.17,159,Sitio_Web,0,80.7
8813.35,101,App_Movil,0,468.3
1545.21,28,Sitio_Web,0,96.6
9821.69,179,Plataforma_SaaS,1,377.5
19301.73,75,Plataforma_SaaS,0,922.0
17686.32,95,Plataforma_SaaS,0,840.5
3215.45,78,Sitio_Web,1,169.6
1790.28,135,Sitio_Web,1,94.1
15063.49,178,Plataforma_SaaS,0,710.7
6649.25,93,App_Movil,0,357.0
24713.61,102,Plataforma_SaaS,1,980.8
12260.48,81,Plataforma_SaaS,0,598.0
12306.71,173,Plataforma_SaaS,0,603.4
1934.55,60,Sitio_Web,0,101.7
2606.7,94,Sitio_Web,1,138.6
11541.81,163,Plataforma_SaaS,1,453.4
3728.93,60,Sitio_Web,1,183.9
1650.19,22,Sitio_Web,1,82.8
11062.34,105,App_Movil,0,615.5
8862.55,26,Plataforma_SaaS,0,415.4
8909.06,52,App_Movil,0,489.4
11162.87,133,App_Movil,0,591.1
1340.0,64,Sitio_Web,0,68.0
11714.94,117,App_Movil,1,527.5
15151.9,135,Plataforma_SaaS,1,606.3
3826.29,87,Sitio_Web,1,163.0
9091.38,163,App_Movil,0,502.5
12428.56,90,Plataforma_SaaS,1,475.8
4694.72,76,App_Movil,1,209.8
5733.62,14,App_Movil,0,322.9
3837.16,35,App_Movil,1,194.8
1260.38,118,Sitio_Web,0,72.0
1134.91,167,Sitio_Web,0,53.8
14612.98,137,Plataforma_SaaS,0,714.3
21320.41,169,Plataforma_SaaS,0,1032.0
9544.9,114,Plataforma_SaaS,0,453.3
9345.77,115,Plataforma_SaaS,1,367.7
8790.86,26,App_Movil,1,388.4
4774.65,79,App_Movil,1,211.4
8756.98,173,Plataforma_SaaS,1,353.4
4501.64,10,App_Movil,0,237.4
11313.58,25,App_Movil,1,504.7
21786.48,108,Plataforma_SaaS,0,1052.2
13373.16,179,Plataforma_SaaS,0,627.1
2898.63,177,Sitio_Web,0,170.2
2519.28,147,Sitio_Web,0,134.4
2966.8,147,Sitio_Web,0,179.1
9144.04,92,App_Movil,0,474.4
2811.95,58,Sitio_Web,0,177.6
5394.91,117,App_Movil,1,229.6
3351.06,115,App_Movil,0,163.2
2257.81,92,Sitio_Web,0,131.8
11018.76,49,App_Movil,0,612.1
2622.39,48,Sitio_Web,1,138.2
3463.65,96,Sitio_Web,0,188.6
24849.24,121,Plataforma_SaaS,0,1179.3
1323.57,32,Sitio_Web,0,75.5
3013.69,157,Sitio_Web,0,203.2
9068.64,49,App_Movil,0,480.3
24639.2,83,Plataforma_SaaS,0,1173.4
3953.92,162,Sitio_Web,0,252.5
9180.11,143,App_Movil,0,497.7
1579.57,26,Sitio_Web,0,105.3
3355.38,45,Sitio_Web,1,160.5
3963.26,18,App_Movil,0,213.0
10026.29,17,App_Movil,0,554.6
11191.77,160,App_Movil,0,602.9
6445.5,48,App_Movil,1,301.3
18351.44,161,Plataforma_SaaS,0,884.7
6871.28,17,App_Movil,0,360.7
2200.85,44,Sitio_Web,1,109.9
12586.68,104,Plataforma_SaaS,0,614.0
3238.81,177,Sitio_Web,0,201.0
11425.59,25,App_Movil,0,616.6
3810.4,140,Sitio_Web,1,171.6
1359.3,180,Sitio_Web,0,63.6
22745.39,122,Plataforma_SaaS,1,894.0
20273.77,119,Plataforma_SaaS,1,805.8
5275.54,176,App_Movil,0,281.1
3605.56,71,App_Movil,0,179.9
1657.59,105,Sitio_Web,0,109.7
3719.07,78,Sitio_Web,0,210.5
2826.17,58,Sitio_Web,0,155.9
9489.49,124,App_Movil,1,427.9
5314.37,126,App_Movil,1,248.9
9474.49,13,App_Movil,1,446.9
889.99,17,Sitio_Web,0,59.2
13755.78,109,Plataforma_SaaS,1,566.0
8640.78,67,App_Movil,1,376.7
4314.87,74,App_Movil,1,215.8
10407.03,159,App_Movil,0,543.4
5115.28,146,App_Movil,1,225.1
2887.3,160,Sitio_Web,0,178.8
2096.63,108,Sitio_Web,0,109.7
17728.78,116,Plataforma_SaaS,0,841.7
1143.84,146,Sitio_Web,1,46.3
854.12,177,Sitio_Web,1,39.6
3710.61,57,Sitio_Web,0,236.9
1662.82,123,Sitio_Web,0,99.9
21754.19,171,Plataforma_SaaS,0,1039.6
11994.15,52,App_Movil,0,618.8
4902.88,59,App_Movil,0,269.4
1648.55,94,Sitio_Web,0,106.8
8965.74,127,App_Movil,1,386.5
11689.04,19,App_Movil,0,630.5
3730.61,95,Sitio_Web,0,225.8
7525.88,131,App_Movil,0,416.0
3344.35,124,Sitio_Web,1,160.0
4221.71,60,App_Movil,1,181.2
11796.94,122,App_Movil,1,526.3
3885.93,124,Sitio_Web,0,246.0
1323.93,10,Sitio_Web,0,89.9
5694.81,81,App_Movil,0,307.3
3901.39,55,App_Movil,1,185.8
11890.92,13,Plataforma_SaaS,1,451.9
10343.6,116,App_Movil,1,473.4
2010.61,128,Sitio_Web,1,89.3
1082.87,17,Sitio_Web,1,71.8
6080.03,98,App_Movil,0,317.7
3940.43,179,Sitio_Web,1,188.5
8667.15,29,App_Movil,0,473.7
14490.9,34,Plataforma_SaaS,0,702.2
4498.85,117,App_Movil,0,238.5
3955.77,63,Sitio_Web,0,241.1
10387.64,32,App_Movil,0,565.9
5533.3,159,App_Movil,0,302.7
3630.62,60,App_Movil,0,192.0
8019.26,35,Plataforma_SaaS,0,390.0
1185.21,103,Sitio_Web,0,85.2
17453.83,170,Plataforma_SaaS,0,825.5
23717.74,20,Plataforma_SaaS,0,1130.1
2389.58,84,Sitio_Web,0,143.6
3497.43,41,Sitio_Web,1,164.3
2226.84,36,Sitio_Web,1,93.3
3067.47,98,Sitio_Web,1,164.3
3141.99,23,Sitio_Web,1,134.8
4565.67,164,App_Movil,0,242.5
1955.89,99,Sitio_Web,1,105.4
2839.37,179,Sitio_Web,0,173.0
8272.54,85,Plataforma_SaaS,0,393.2
1956.93,116,Sitio_Web,1,86.9
16626.39,108,Plataforma_SaaS,0,801.5
3987.92,112,Sitio_Web,1,189.5
2318.51,53,Sitio_Web,1,118.6
10344.51,70,App_Movil,1,466.9
6888.61,172,App_Movil,1,311.5
21335.03,70,Plataforma_SaaS,0,1017.7
8358.73,93,App_Movil,0,471.7
22958.72,13,Plataforma_SaaS,0,1105.6
2115.02,28,Sitio_Web,0,124.1
2733.77,87,Sitio_Web,1,139.3
18340.34,175,Plataforma_SaaS,1,725.9
14512.89,80,Plataforma_SaaS,1,576.7
9597.62,144,Plataforma_SaaS,0,484.6
3842.03,141,App_Movil,0,199.8
853.35,131,Sitio_Web,0,50.4
22723.62,56,Plataforma_SaaS,0,1086.2
1556.72,58,Sitio_Web,1,67.4
10807.12,167,Plataforma_SaaS,0,523.0
20248.64,7,Plataforma_SaaS,0,972.3
5880.15,168,App_Movil,0,326.6
16108.8,10,Plataforma_SaaS,1,652.5
9925.2,151,Plataforma_SaaS,1,406.0
3871.19,138,Sitio_Web,0,223.1
22328.47,177,Plataforma_SaaS,0,1078.2
10774.11,10,App_Movil,0,588.5
14321.93,7,Plataforma_SaaS,0,677.2
3239.56,77,Sitio_Web,1,158.8
9589.77,41,Plataforma_SaaS,1,369.0
827.58,14,Sitio_Web,0,56.4
863.91,158,Sitio_Web,0,58.5
17558.83,42,Plataforma_SaaS,1,716.7
2257.26,129,Sitio_Web,0,133.1
2457.65,49,Sitio_Web,1,127.4
7134.34,33,Plataforma_SaaS,0,352.3
14608.36,38,Plataforma_SaaS,0,693.7
9462.61,84,App_Movil,0,501.9
6984.24,127,App_Movil,0,369.9
9589.97,152,App_Movil,1,428.1
1545.66,162,Sitio_Web,0,84.0
3402.05,163,Sitio_Web,0,197.3
8295.88,22,App_Movil,0,456.8
10793.74,105,Plataforma_SaaS,0,517.1
11260.97,53,Plataforma_SaaS,0,543.6
18304.55,37,Plataforma_SaaS,0,873.1
3455.81,10,Sitio_Web,1,166.6
6740.65,171,App_Movil,0,366.9
1626.56,23,Sitio_Web,0,98.9
10803.1,45,App_Movil,1,493.9
9023.41,54,App_Movil,0,500.3
15065.54,180,Plataforma_SaaS,1,595.7
2361.28,45,Sitio_Web,0,150.3
1453.62,138,Sitio_Web,1,61.9
2805.77,36,Sitio_Web,1,161.0
13457.37,164,Plataforma_SaaS,1,530.4
11960.81,28,App_Movil,1,545.1
2336.59,72,Sitio_Web,0,129.3
2354.83,114,Sitio_Web,1,116.2
8092.67,18,App_Movil,0,452.5
3733.62,42,Sitio_Web,0,215.8
21414.73,24,Plataforma_SaaS,0,1049.9
7060.17,96,App_Movil,0,381.2
3099.84,7,Sitio_Web,0,195.7
2675.95,133,Sitio_Web,0,164.6
15862.61,96,Plataforma_SaaS,0,766.0
1415.41,93,Sitio_Web,1,56.5
2284.6,96,Sitio_Web,1,109.5
11424.73,140,Plataforma_SaaS,0,560.3
23467.16,76,Plataforma_SaaS,0,1123.0
13037.32,50,Plataforma_SaaS,0,627.2
24140.75,158,Plataforma_SaaS,0,1143.3
2505.78,92,Sitio_Web,0,145.0
2820.94,25,Sitio_Web,0,180.5
16772.93,107,Plataforma_SaaS,0,792.3
4164.43,152,App_Movil,1,194.6
6382.39,101,App_Movil,0,346.4
8784.63,107,Plataforma_SaaS,0,419.3
2793.45,36,Sitio_Web,0,164.8
7021.87,176,App_Movil,0,374.3
3289.55,39,Sitio_Web,0,193.4
4984.23,18,App_Movil,1,233.6
1326.61,124,Sitio_Web,0,75.3
2100.26,100,Sitio_Web,0,144.1
3765.07,161,Sitio_Web,1,191.2
9393.8,173,App_Movil,1,417.0
6770.31,143,App_Movil,1,314.4
7655.45,155,App_Movil,0,419.6
8515.83,82,Plataforma_SaaS,1,324.1
3950.64,35,Sitio_Web,0,226.7
2932.5,167,Sitio_Web,0,174.8
12137.27,123,Plataforma_SaaS,0,566.8
2674.59,21,Sitio_Web,0,181.4
8970.68,8,Plataforma_SaaS,0,438.8
3890.68,123,Sitio_Web,0,233.3
10146.13,178,Plataforma_SaaS,1,402.4
2873.7,24,Sitio_Web,1,137.7
11418.18,9,Plataforma_SaaS,1,437.1
9458.05,141,App_Movil,0,493.4
20982.78,177,Plataforma_SaaS,1,858.3
2954.94,172,Sitio_Web,0,193.0
8530.5,171,App_Movil,1,378.1
23064.44,167,Plataforma_SaaS,0,1116.2
3707.64,114,App_Movil,1,171.9
5978.23,101,App_Movil,0,329.1
5234.59,128,App_Movil,1,221.3
11892.13,17,App_Movil,1,517.1
6504.51,74,App_Movil,0,363.1
9593.51,129,App_Movil,0,498.3
19325.05,119,Plataforma_SaaS,1,771.5
1478.66,104,Sitio_Web,0,85.0
1564.79,99,Sitio_Web,1,73.6
12063.12,28,Plataforma_SaaS,0,582.2
14400.29,178,Plataforma_SaaS,0,684.4
5108.93,133,App_Movil,0,279.8
3176.86,140,App_Movil,0,173.0
3614.06,176,Sitio_Web,1,201.7
3889.95,31,Sitio_Web,0,219.5
6074.13,91,App_Movil,0,328.3
1883.22,61,Sitio_Web,0,117.3
3063.83,150,App_Movil,0,162.9
2976.8,101,Sitio_Web,1,135.5
21857.92,148,Plataforma_SaaS,1,886.9
9638.95,173,Plataforma_SaaS,0,466.0
4437.0,162,App_Movil,1,187.0
10110.75,125,App_Movil,1,459.4
2772.13,15,Sitio_Web,0,183.3
7807.49,179,Plataforma_SaaS,1,311.9
8602.92,156,App_Movil,0,464.5
1788.54,166,Sitio_Web,0,123.0
13637.05,48,Plataforma_SaaS,1,535.8
20855.17,59,Plataforma_SaaS,0,1018.3
21596.83,80,Plataforma_SaaS,1,873.6
6603.21,45,App_Movil,1,287.9
11524.38,128,App_Movil,0,615.6
6658.16,21,App_Movil,1,294.4
20893.05,163,Plataforma_SaaS,0,984.5
15709.79,129,Plataforma_SaaS,0,756.7
3672.1,117,Sitio_Web,1,174.8
3704.84,137,Sitio_Web,1,188.2
1079.73,89,Sitio_Web,0,51.9
23856.88,16,Plataforma_SaaS,0,1154.4
21859.63,98,Plataforma_SaaS,1,881.8
3332.19,35,Sitio_Web,1,159.6
4808.2,41,App_Movil,1,220.0
3376.38,12,Sitio_Web,0,203.4
22302.39,146,Plataforma_SaaS,0,1085.3
12204.71,117,Plataforma_SaaS,0,575.5
24140.68,44,Plataforma_SaaS,1,964.1
3448.74,83,App_Movil,0,179.8
4349.18,99,App_Movil,0,235.3
2520.26,153,Sitio_Web,1,131.3
2642.54,73,Sitio_Web,0,152.0
18612.7,142,Plataforma_SaaS,1,740.9
7305.44,14,Plataforma_SaaS,1,301.9
24286.6,128,Plataforma_SaaS,1,985.0
7802.59,90,Plataforma_SaaS,0,379.5
4287.56,138,App_Movil,0,230.1
7252.26,91,Plataforma_SaaS,1,287.8
17203.45,51,Plataforma_SaaS,1,693.6
23780.8,142,Plataforma_SaaS,1,953.5
2931.03,93,Sitio_Web,0,159.4
10403.92,22,App_Movil,1,473.9
842.5,83,Sitio_Web,1,33.5
16756.28,15,Plataforma_SaaS,1,656.1
7136.07,66,App_Movil,1,304.4
2396.7,84,Sitio_Web,1,117.7
3649.92,83,App_Movil,1,154.1
9159.92,77,App_Movil,0,471.4
2410.31,21,Sitio_Web,0,141.0
3248.48,77,Sitio_Web,0,190.0
7367.62,108,App_Movil,0,396.4
4344.43,175,App_Movil,0,228.3
18668.63,28,Plataforma_SaaS,0,914.4
4551.48,158,App_Movil,0,251.0
22703.1,119,Plataforma_SaaS,0,1084.8
8518.05,178,App_Movil,1,382.7
4414.83,7,App_Movil,1,212.8
24322.09,16,Plataforma_SaaS,0,1177.0
7665.29,116,App_Movil,1,331.0
1033.28,119,Sitio_Web,0,52.3
2805.87,56,Sitio_Web,0,160.5
11557.58,18,Plataforma_SaaS,0,550.4
10233.24,95,App_Movil,0,546.6
10360.4,160,App_Movil,1,466.6
3932.63,118,Sitio_Web,1,204.0
2405.98,84,Sitio_Web,0,153.4
2255.86,175,Sitio_Web,0,132.1
3211.12,170,Sitio_Web,0,176.3
4192.24,127,App_Movil,0,216.0
2550.13,29,Sitio_Web,0,147.8
7916.23,177,App_Movil,0,415.0
8610.52,140,Plataforma_SaaS,1,355.8
2137.55,177,Sitio_Web,1,95.1
10679.56,31,App_Movil,0,582.9
22410.77,24,Plataforma_SaaS,1,879.6
1117.56,147,Sitio_Web,0,73.6
3816.49,49,App_Movil,0,204.7
11728.52,84,Plataforma_SaaS,0,578.1
22745.79,34,Plataforma_SaaS,1,898.5
1212.49,152,Sitio_Web,1,55.0
19959.94,65,Plataforma_SaaS,1,794.7
3910.49,69,App_Movil,0,209.6
2794.04,98,Sitio_Web,1,136.2
6204.61,62,App_Movil,0,331.8
21200.45,161,Plataforma_SaaS,1,844.6
5103.21,166,App_Movil,0,254.9
2845.45,117,Sitio_Web,0,180.7
5121.14,143,App_Movil,0,305.2
3083.71,74,Sitio_Web,1,157.2
3595.77,52,Sitio_Web,0,204.4
1205.77,73,Sitio_Web,1,49.9
3573.11,160,Sitio_Web,0,220.5
2699.44,142,Sitio_Web,1,138.8
1206.75,12,Sitio_Web,1,57.5
6847.88,30,App_Movil,1,315.7
1314.75,100,Sitio_Web,0,58.2
3041.11,179,Sitio_Web,0,190.0
20659.63,19,Plataforma_SaaS,0,994.0
3952.17,31,App_Movil,1,167.9
7555.26,154,App_Movil,0,393.7
3406.8,124,Sitio_Web,0,205.6
3795.72,88,Sitio_Web,0,241.8
2443.26,117,Sitio_Web,0,144.3
3840.89,88,Sitio_Web,1,183.5
2514.2,72,Sitio_Web,0,152.8
2061.41,51,Sitio_Web,1,121.3
3514.25,120,Sitio_Web,0,215.2
2377.54,69,Sitio_Web,0,148.0
7247.12,82,App_Movil,0,403.6
2369.0,120,Sitio_Web,0,146.9
3509.71,117,Sitio_Web,0,202.8
10487.47,153,App_Movil,1,454.5
6631.68,41,App_Movil,0,348.9
1866.56,59,Sitio_Web,1,82.3
15854.7,32,Plataforma_SaaS,0,767.6
8154.95,20,App_Movil,0,448.4
1562.68,124,Sitio_Web,1,79.9
21291.19,51,Plataforma_SaaS,0,1009.3
15756.69,178,Plataforma_SaaS,0,774.2
1868.95,57,Sitio_Web,0,108.0
1141.83,177,Sitio_Web,0,74.5
11299.21,125,Plataforma_SaaS,1,452.5
11543.53,157,App_Movil,0,625.4
1776.32,25,Sitio_Web,1,94.5
1340.35,88,Sitio_Web,1,60.1
2274.15,82,Sitio_Web,0,149.5
5763.79,98,App_Movil,1,243.6
3316.43,39,App_Movil,0,168.7
1834.06,153,Sitio_Web,1,104.6
7896.98,34,App_Movil,0,432.3
7965.41,129,App_Movil,1,383.8
1940.99,132,Sitio_Web,0,117.1
2231.37,43,Sitio_Web,0,150.9
11689.66,160,App_Movil,1,507.5
13792.27,105,Plataforma_SaaS,1,537.6
5324.04,104,App_Movil,0,296.5
5191.2,133,App_Movil,0,262.9
2264.85,174,Sitio_Web,1,111.3
9835.68,86,App_Movil,1,454.3
4853.89,44,App_Movil,1,223.4
3069.75,83,Sitio_Web,1,153.6
867.68,132,Sitio_Web,1,38.9
2140.59,93,Sitio_Web,1,109.1
3282.77,60,Sitio_Web,0,202.7
1883.95,156,Sitio_Web,0,106.4
2603.96,22,Sitio_Web,1,133.9
1455.93,34,Sitio_Web,1,83.6
3174.39,169,Sitio_Web,0,188.2
7941.02,179,Plataforma_SaaS,0,381.9
10672.88,52,App_Movil,1,485.1
4783.77,78,App_Movil,0,263.8
22739.16,91,Plataforma_SaaS,0,1100.3
6172.76,32,App_Movil,0,323.2
3112.59,91,Sitio_Web,0,181.5
5873.03,159,App_Movil,0,312.2
11153.21,71,App_Movil,0,593.2
4139.73,140,App_Movil,0,205.6
4606.68,157,App_Movil,1,174.8
2377.7,121,Sitio_Web,0,154.6
1062.2,70,Sitio_Web,1,37.6
1427.14,93,Sitio_Web,1,87.0
