id_proyecto,presupuesto_estimado,deadline_dias,cantidad_bugs,numero_desarrolladores,tipo_servicio,infraestructura_nube_previa,renovacion_contrato,horas_hombre_invertidas,fecha_entrega
PRJ-00024,32477.14,116,11,7,Sistema SaaS,No,Sí,1103.5,2024-01-01
PRJ-00025,39205.25,239,0,6,E-commerce,Sí,No,1080.1,2024-01-02
PRJ-00026,63888.2,110,7,3,E-commerce,No,No,1522.8,2024-01-02
PRJ-00027,19975.53,351,3,9,App Móvil,No,No,838.3,2024-01-02
PRJ-00028,43567.58,219,6,2,Portal Web,Sí,No,1019.7,2024-01-02
PRJ-00029,49431.09,262,6,4,Sistema SaaS,No,Sí,1274.1,2024-01-02
PRJ-00030,8483.78,198,7,2,Sistema SaaS,Sí,No,341.2,2024-01-02
PRJ-00031,50565.86,280,8,6,App Móvil,No,No,1362.4,2024-01-02
PRJ-00032,17789.31,197,8,7,Sistema SaaS,Sí,Sí,771.0,2024-01-02
PRJ-00033,9878.87,260,13,9,Sistema SaaS,Sí,Sí,712.9,2024-01-02
PRJ-00034,76166.42,179,6,6,E-commerce,No,Sí,1853.6,2024-01-02
PRJ-00035,77422.4,181,8,6,E-commerce,Sí,Sí,1901.0,2024-01-02
PRJ-00036,65629.8,67,14,5,Portal Web,Sí,No,1685.9,2024-01-02
PRJ-00037,27846.03,326,4,4,E-commerce,No,No,794.4,2024-01-02
PRJ-00038,12325.41,304,9,4,Portal Web,Sí,Sí,561.4,2024-01-02
PRJ-00039,56317.48,134,3,4,E-commerce,Sí,No,1384.7,2024-01-02
PRJ-00040,38011.44,91,2,5,Portal Web,No,Sí,996.8,2024-01-02
PRJ-00041,14152.87,45,5,1,Sistema SaaS,Sí,Sí,381.0,2024-01-02
PRJ-00042,42138.27,179,9,2,Sistema SaaS,Sí,Sí,1023.8,2024-01-02
PRJ-00043,7579.14,171,10,3,E-commerce,Sí,No,420.0,2024-01-02
PRJ-00044,73199.03,145,8,7,Sistema SaaS,Sí,Sí,1828.3,2024-01-02
PRJ-00045,24408.5,341,3,1,Portal Web,Sí,Sí,559.4,2024-01-02
PRJ-00046,54689.17,94,13,3,App Móvil,Sí,Sí,1392.1,2024-01-02
PRJ-00047,28378.33,339,1,7,App Móvil,No,Sí,879.0,2024-01-02
PRJ-00048,44005.1,223,10,6,Sistema SaaS,No,No,1259.4,2024-01-02
PRJ-00049,46003.27,190,2,2,Sistema SaaS,No,Sí,1058.8,2024-01-03
PRJ-00050,18864.08,335,2,4,E-commerce,No,No,579.9,2024-01-03
PRJ-00051,77718.85,307,1,1,E-commerce,No,No,1641.2,2024-01-03
PRJ-00052,63134.96,325,12,5,Portal Web,No,No,1672.6,2024-01-03
PRJ-00053,75462.42,68,8,2,Portal Web,No,Sí,1708.5,2024-01-03
PRJ-00054,72112.05,198,3,8,App Móvil,Sí,No,1831.0,2024-01-03
PRJ-00055,49842.5,97,2,6,Portal Web,Sí,No,1330.4,2024-01-03
PRJ-00056,74140.57,36,13,1,Sistema SaaS,Sí,Sí,1620.6,2024-01-03
PRJ-00057,11636.94,114,9,2,Sistema SaaS,No,Sí,391.9,2024-01-03
PRJ-00058,19698.71,228,5,4,E-commerce,No,Sí,653.2,2024-01-03
PRJ-00059,8392.05,161,7,3,Sistema SaaS,No,No,448.7,2024-01-03
PRJ-00060,29399.77,105,10,9,Portal Web,Sí,No,1130.1,2024-01-03
PRJ-00061,34150.8,279,7,1,Portal Web,Sí,Sí,816.6,2024-01-03
PRJ-00062,25351.18,238,9,7,E-commerce,No,No,918.4,2024-01-03
PRJ-00063,67155.31,113,5,9,Portal Web,No,No,1822.0,2024-01-03
PRJ-00064,31756.5,252,4,9,E-commerce,No,Sí,1117.1,2024-01-03
PRJ-00065,26070.09,282,10,6,Sistema SaaS,No,Sí,930.1,2024-01-03
PRJ-00066,45702.21,60,6,7,E-commerce,Sí,No,1302.6,2024-01-03
PRJ-00067,15569.32,230,2,8,Portal Web,Sí,Sí,721.2,2024-01-03
PRJ-00068,65164.77,81,11,3,Portal Web,Sí,Sí,1577.9,2024-01-03
PRJ-00069,10591.3,101,9,5,App Móvil,No,No,557.6,2024-01-03
PRJ-00070,79016.52,50,1,4,E-commerce,Sí,Sí,1796.6,2024-01-03
PRJ-00071,62918.36,45,12,9,Portal Web,No,Sí,1784.0,2024-01-03
PRJ-00072,19903.68,45,7,9,App Móvil,No,Sí,886.5,2024-01-03
PRJ-00073,5414.16,204,10,4,Sistema SaaS,No,Sí,411.1,2024-01-04
PRJ-00074,66159.61,341,11,2,Sistema SaaS,Sí,No,1515.2,2024-01-04
PRJ-00075,58014.3,107,13,1,Sistema SaaS,No,No,1334.0,2024-01-04
PRJ-00076,59675.54,269,8,3,Sistema SaaS,No,Sí,1408.9,2024-01-04
PRJ-00077,62845.28,66,11,2,Sistema SaaS,No,No,1504.9,2024-01-04
PRJ-00078,10553.35,261,5,5,E-commerce,No,No,491.2,2024-01-04
PRJ-00079,31884.93,242,3,6,Sistema SaaS,No,Sí,946.9,2024-01-04
PRJ-00080,13690.18,222,5,9,Portal Web,No,Sí,746.5,2024-01-04
PRJ-00081,69732.76,89,11,4,Portal Web,Sí,Sí,1722.4,2024-01-04
PRJ-00082,51747.36,218,6,4,Sistema SaaS,No,Sí,1299.5,2024-01-04
PRJ-00083,29817.35,296,11,4,Sistema SaaS,Sí,Sí,910.0,2024-01-04
PRJ-00084,9766.88,155,7,1,App Móvil,Sí,No,320.9,2024-01-04
PRJ-00085,28323.67,232,2,3,E-commerce,No,No,752.8,2024-01-04
PRJ-00086,29388.75,351,11,4,Portal Web,No,No,887.5,2024-01-04
PRJ-00087,59720.46,61,5,1,Portal Web,Sí,Sí,1333.4,2024-01-04
PRJ-00088,52816.81,341,13,5,Portal Web,Sí,Sí,1423.1,2024-01-04
PRJ-00089,71540.96,290,9,9,Portal Web,Sí,No,1936.7,2024-01-04
PRJ-00090,40416.12,123,5,1,Sistema SaaS,No,Sí,931.0,2024-01-04
PRJ-00091,13969.57,357,9,7,Sistema SaaS,No,No,761.5,2024-01-04
PRJ-00092,58493.36,129,6,2,E-commerce,Sí,No,1283.5,2024-01-04
PRJ-00093,62058.88,314,14,9,App Móvil,Sí,No,1835.8,2024-01-04
PRJ-00094,47095.79,344,13,4,Sistema SaaS,No,Sí,1289.7,2024-01-04
PRJ-00095,62822.54,54,3,3,Portal Web,Sí,No,1416.1,2024-01-04
PRJ-00096,42034.67,146,5,7,App Móvil,No,Sí,1224.7,2024-01-04
PRJ-00097,44204.96,228,14,6,Portal Web,No,No,1292.1,2024-01-05
PRJ-00098,37065.58,308,1,8,E-commerce,No,No,1093.5,2024-01-05
PRJ-00099,6906.43,99,14,9,Sistema SaaS,No,Sí,721.8,2024-01-05
PRJ-00100,13091.86,364,7,7,E-commerce,Sí,Sí,635.6,2024-01-05
PRJ-00101,7357.19,108,2,6,Portal Web,Sí,Sí,444.9,2024-01-05
PRJ-00102,52730.78,43,14,8,Sistema SaaS,Sí,Sí,1566.0,2024-01-05
PRJ-00103,28576.7,58,14,9,Sistema SaaS,No,Sí,1133.2,2024-01-05
PRJ-00104,43142.8,173,8,8,Sistema SaaS,No,Sí,1345.8,2024-01-05
PRJ-00105,73067.49,39,7,6,Sistema SaaS,Sí,No,1786.2,2024-01-05
PRJ-00106,23696.92,76,11,8,E-commerce,Sí,Sí,965.1,2024-01-05
PRJ-00107,35778.72,289,5,9,Sistema SaaS,Sí,Sí,1192.5,2024-01-05
PRJ-00108,61666.34,41,9,6,App Móvil,No,Sí,1617.8,2024-01-05
PRJ-00109,22159.86,327,1,6,Sistema SaaS,Sí,No,710.4,2024-01-05
PRJ-00110,10773.49,255,14,2,Portal Web,No,No,482.6,2024-01-05
PRJ-00111,26731.36,289,7,9,E-commerce,No,No,997.9,2024-01-05
PRJ-00112,17091.6,113,10,8,App Móvil,No,No,809.7,2024-01-05
PRJ-00113,74727.32,35,14,5,Portal Web,No,No,1927.3,2024-01-05
PRJ-00114,65609.03,276,5,3,Sistema SaaS,No,No,1523.2,2024-01-05
PRJ-00115,52505.28,64,10,9,Portal Web,Sí,No,1575.2,2024-01-05
PRJ-00116,70359.54,204,0,7,E-commerce,No,No,1733.4,2024-01-05
PRJ-00117,65275.41,94,5,9,E-commerce,No,Sí,1750.4,2024-01-05
PRJ-00118,18992.75,176,12,7,Sistema SaaS,Sí,No,845.9,2024-01-05
PRJ-00119,71941.92,86,4,8,App Móvil,No,No,1835.6,2024-01-05
PRJ-00120,45450.67,222,5,5,E-commerce,Sí,Sí,1179.5,2024-01-05
PRJ-00121,65558.01,42,12,6,E-commerce,No,No,1722.1,2024-01-06
PRJ-00122,72206.85,47,0,8,App Móvil,Sí,Sí,1789.1,2024-01-06
PRJ-00123,28850.26,275,3,7,Sistema SaaS,Sí,No,931.5,2024-01-06
PRJ-00124,13253.89,192,6,1,Portal Web,No,No,392.5,2024-01-06
PRJ-00125,22095.14,143,12,4,Sistema SaaS,No,No,759.1,2024-01-06
PRJ-00126,37033.08,311,14,8,Sistema SaaS,No,No,1197.4,2024-01-06
PRJ-00127,66351.11,262,4,9,Portal Web,Sí,No,1758.3,2024-01-06
PRJ-00128,69554.79,195,5,6,Portal Web,Sí,Sí,1694.1,2024-01-06
PRJ-00129,5521.41,351,1,4,Sistema SaaS,Sí,No,311.7,2024-01-06
PRJ-00130,43306.05,55,7,2,App Móvil,No,No,1021.9,2024-01-06
PRJ-00131,36305.83,155,9,9,Portal Web,No,Sí,1226.6,2024-01-06
PRJ-00132,21658.09,342,3,1,E-commerce,Sí,No,535.2,2024-01-06
PRJ-00133,13989.9,310,5,5,Sistema SaaS,No,Sí,545.3,2024-01-06
PRJ-00134,30321.14,315,2,8,E-commerce,Sí,Sí,995.5,2024-01-06
PRJ-00135,75718.23,312,8,4,E-commerce,No,Sí,1774.9,2024-01-06
PRJ-00136,29240.22,168,12,1,Portal Web,No,Sí,762.0,2024-01-06
PRJ-00137,43909.3,130,7,4,App Móvil,No,Sí,1113.1,2024-01-06
PRJ-00138,57726.42,40,13,5,E-commerce,No,No,1522.5,2024-01-06
PRJ-00139,32272.22,245,14,5,Sistema SaaS,Sí,Sí,1051.1,2024-01-06
PRJ-00140,77883.66,59,14,1,Portal Web,No,No,1746.5,2024-01-06
PRJ-00141,77183.55,123,5,2,E-commerce,No,Sí,1675.8,2024-01-06
PRJ-00142,23883.67,145,8,6,Sistema SaaS,Sí,No,898.4,2024-01-06
PRJ-00143,42293.64,300,9,5,Sistema SaaS,No,Sí,1185.3,2024-01-06
PRJ-00144,27565.87,320,8,9,Sistema SaaS,Sí,Sí,1060.8,2024-01-06
PRJ-00145,26363.04,68,1,7,E-commerce,No,Sí,838.6,2024-01-07
PRJ-00146,7766.52,53,8,5,App Móvil,Sí,Sí,502.4,2024-01-07
PRJ-00147,50717.33,293,7,9,E-commerce,Sí,No,1533.5,2024-01-07
PRJ-00148,42700.93,72,14,1,App Móvil,Sí,Sí,1051.9,2024-01-07
PRJ-00149,8860.91,199,1,3,App Móvil,Sí,No,350.9,2024-01-07
PRJ-00150,25898.48,198,8,2,Portal Web,No,Sí,737.5,2024-01-07
PRJ-00151,73119.94,332,4,7,Portal Web,No,No,1773.7,2024-01-07
PRJ-00152,22967.14,55,12,9,App Móvil,Sí,Sí,1029.8,2024-01-07
PRJ-00153,15867.12,209,11,2,E-commerce,Sí,No,520.2,2024-01-07
PRJ-00154,41708.96,179,8,6,App Móvil,Sí,Sí,1233.3,2024-01-07
PRJ-00155,78923.78,162,2,2,App Móvil,No,Sí,1672.5,2024-01-07
PRJ-00156,23154.15,172,3,3,App Móvil,Sí,No,649.3,2024-01-07
PRJ-00157,55410.17,193,0,1,Sistema SaaS,No,No,1109.2,2024-01-07
PRJ-00158,62121.47,130,10,6,App Móvil,Sí,No,1660.3,2024-01-07
PRJ-00159,22822.82,92,4,2,Sistema SaaS,No,No,596.3,2024-01-07
PRJ-00160,59616.23,122,14,3,App Móvil,No,Sí,1527.6,2024-01-07
PRJ-00161,32583.73,236,6,6,E-commerce,Sí,Sí,975.8,2024-01-07
PRJ-00162,52422.94,340,12,6,Portal Web,Sí,Sí,1467.8,2024-01-07
PRJ-00163,52514.73,101,6,4,Portal Web,Sí,No,1340.3,2024-01-07
PRJ-00164,45183.1,89,5,1,Sistema SaaS,No,No,1008.0,2024-01-07
PRJ-00165,11771.73,58,12,7,App Móvil,Sí,Sí,705.2,2024-01-07
PRJ-00166,67647.69,48,5,2,E-commerce,Sí,No,1520.4,2024-01-07
PRJ-00167,29058.5,102,14,6,Sistema SaaS,Sí,No,980.4,2024-01-07
PRJ-00168,18988.89,275,7,7,E-commerce,Sí,No,765.8,2024-01-07
PRJ-00169,8058.14,342,10,2,App Móvil,Sí,Sí,399.6,2024-01-08
PRJ-00170,49316.97,353,9,6,Portal Web,Sí,No,1313.1,2024-01-08
PRJ-00171,55817.33,116,8,1,App Móvil,No,Sí,1285.3,2024-01-08
PRJ-00172,6244.09,212,3,6,App Móvil,No,Sí,416.2,2024-01-08
PRJ-00173,43406.98,226,13,8,App Móvil,Sí,Sí,1435.5,2024-01-08
PRJ-00174,21987.18,273,3,8,Portal Web,No,Sí,846.7,2024-01-08
PRJ-00175,53387.96,357,7,7,Portal Web,No,No,1446.7,2024-01-08
PRJ-00176,18077.48,147,14,4,Sistema SaaS,No,No,734.0,2024-01-08
PRJ-00177,56820.33,111,4,4,Sistema SaaS,Sí,Sí,1400.2,2024-01-08
PRJ-00178,34005.15,276,9,5,Sistema SaaS,Sí,Sí,1028.2,2024-01-08
PRJ-00179,75254.75,263,13,8,Portal Web,Sí,Sí,2009.9,2024-01-08
PRJ-00180,15314.07,182,8,4,Portal Web,Sí,No,618.2,2024-01-08
PRJ-00181,30579.98,301,5,9,App Móvil,Sí,Sí,1053.4,2024-01-08
PRJ-00182,13510.51,64,8,3,App Móvil,No,No,528.0,2024-01-08
PRJ-00183,74352.02,242,11,9,E-commerce,No,No,1963.8,2024-01-08
PRJ-00184,70800.45,240,11,2,E-commerce,Sí,Sí,1640.9,2024-01-08
PRJ-00185,24345.62,168,3,6,Sistema SaaS,Sí,No,779.0,2024-01-08
PRJ-00186,54498.8,218,0,5,App Móvil,No,Sí,1280.7,2024-01-08
PRJ-00187,66291.67,329,13,5,App Móvil,Sí,Sí,1739.5,2024-01-08
PRJ-00188,46640.06,281,3,6,E-commerce,Sí,Sí,1185.1,2024-01-08
PRJ-00189,44723.79,179,8,7,Sistema SaaS,No,No,1340.1,2024-01-08
PRJ-00190,23138.92,248,12,4,App Móvil,Sí,Sí,748.5,2024-01-08
PRJ-00191,11982.71,111,6,4,E-commerce,No,Sí,518.0,2024-01-08
PRJ-00192,72291.18,219,14,9,Sistema SaaS,Sí,Sí,1999.3,2024-01-08
PRJ-00193,72531.35,263,14,4,Sistema SaaS,No,No,1749.8,2024-01-09
PRJ-00194,52482.61,205,5,8,Sistema SaaS,Sí,Sí,1458.3,2024-01-09
PRJ-00195,30427.23,261,13,1,E-commerce,Sí,No,823.6,2024-01-09
PRJ-00196,31190.72,92,13,4,App Móvil,Sí,Sí,937.4,2024-01-09
PRJ-00197,59446.68,266,1,2,E-commerce,No,Sí,1297.4,2024-01-09
PRJ-00198,72283.27,62,3,5,App Móvil,Sí,Sí,1723.9,2024-01-09
PRJ-00199,71531.48,242,0,2,App Móvil,Sí,No,1558.0,2024-01-09
PRJ-00200,63490.67,89,12,7,App Móvil,Sí,Sí,1730.4,2024-01-09
PRJ-00201,53152.37,31,2,7,Portal Web,Sí,No,1431.2,2024-01-09
PRJ-00202,11310.5,86,12,9,Portal Web,No,Sí,796.4,2024-01-09
PRJ-00203,17122.15,330,1,4,Portal Web,Sí,Sí,532.1,2024-01-09
PRJ-00204,72391.56,316,12,5,Sistema SaaS,Sí,No,1845.5,2024-01-09
PRJ-00205,50482.18,167,3,3,App Móvil,Sí,No,1203.0,2024-01-09
PRJ-00206,5689.78,308,3,7,Sistema SaaS,Sí,No,460.6,2024-01-09
PRJ-00207,12610.37,243,10,5,E-commerce,Sí,Sí,615.0,2024-01-09
PRJ-00208,54762.63,268,13,9,App Móvil,Sí,Sí,1663.0,2024-01-09
PRJ-00209,5379.62,314,8,7,Portal Web,Sí,Sí,532.3,2024-01-09
PRJ-00210,17060.6,60,6,4,E-commerce,Sí,No,640.3,2024-01-09
PRJ-00211,46155.03,235,12,7,Portal Web,No,Sí,1362.0,2024-01-09
PRJ-00212,56892.14,303,2,1,E-commerce,No,Sí,1213.2,2024-01-09
PRJ-00213,53897.09,40,6,2,App Móvil,No,Sí,1240.7,2024-01-09
PRJ-00214,21820.2,76,7,3,App Móvil,Sí,No,675.1,2024-01-09
PRJ-00215,58413.44,32,11,5,Sistema SaaS,Sí,Sí,1514.0,2024-01-09
PRJ-00216,22793.68,159,6,5,Portal Web,No,Sí,738.7,2024-01-09
PRJ-00217,29404.98,101,7,7,Portal Web,No,Sí,985.5,2024-01-10
PRJ-00218,60986.86,188,13,9,App Móvil,Sí,No,1792.6,2024-01-10
PRJ-00219,53722.47,159,8,9,Sistema SaaS,No,Sí,1564.0,2024-01-10
PRJ-00220,68691.76,51,0,6,Sistema SaaS,No,Sí,1577.5,2024-01-10
PRJ-00221,54320.97,164,9,7,Portal Web,Sí,No,1485.6,2024-01-10
PRJ-00222,47623.15,49,5,8,App Móvil,Sí,No,1407.8,2024-01-10
PRJ-00223,12025.61,249,3,4,Portal Web,Sí,Sí,495.2,2024-01-10
PRJ-00224,32578.69,362,0,7,App Móvil,No,Sí,954.2,2024-01-10
PRJ-00225,24890.18,159,1,6,Portal Web,No,Sí,824.7,2024-01-10
PRJ-00226,23299.22,61,9,8,App Móvil,Sí,No,925.8,2024-01-10
PRJ-00227,77975.79,119,3,1,Sistema SaaS,No,Sí,1602.1,2024-01-10
PRJ-00228,34482.33,288,0,5,Sistema SaaS,Sí,No,907.0,2024-01-10
PRJ-00229,71903.49,327,14,3,Portal Web,Sí,Sí,1759.2,2024-01-10
PRJ-00230,52335.4,362,5,9,Sistema SaaS,Sí,No,1497.6,2024-01-10
PRJ-00231,64610.85,278,0,9,Portal Web,No,Sí,1712.3,2024-01-10
PRJ-00232,42697.78,202,12,3,Sistema SaaS,Sí,Sí,1139.6,2024-01-10
PRJ-00233,48267.79,76,8,2,Portal Web,Sí,No,1144.2,2024-01-10
PRJ-00234,41938.83,226,9,5,Sistema SaaS,Sí,Sí,1191.2,2024-01-10
PRJ-00235,19643.22,63,2,4,App Móvil,No,No,627.6,2024-01-10
PRJ-00236,59183.91,283,11,7,Sistema SaaS,Sí,Sí,1635.2,2024-01-10
PRJ-00237,26057.93,277,10,8,App Móvil,Sí,No,1015.9,2024-01-10
PRJ-00238,6823.7,71,0,4,Sistema SaaS,No,Sí,280.1,2024-01-10
PRJ-00239,53410.42,318,5,3,Sistema SaaS,No,Sí,1298.0,2024-01-10
PRJ-00240,18283.3,152,5,9,App Móvil,No,No,817.3,2024-01-10
PRJ-00241,75534.39,56,6,8,E-commerce,No,No,1921.1,2024-01-11
PRJ-00242,76544.64,88,6,7,Portal Web,Sí,Sí,1940.1,2024-01-11
PRJ-00243,73614.83,176,9,8,E-commerce,Sí,Sí,1930.7,2024-01-11
PRJ-00244,32761.9,144,10,8,Sistema SaaS,Sí,Sí,1117.9,2024-01-11
PRJ-00245,6159.25,228,3,8,Portal Web,Sí,Sí,511.8,2024-01-11
PRJ-00246,74623.89,157,4,1,Portal Web,No,No,1555.1,2024-01-11
PRJ-00247,37113.81,182,2,4,Portal Web,No,No,928.7,2024-01-11
PRJ-00248,77499.11,300,5,7,Portal Web,Sí,Sí,1950.5,2024-01-11
PRJ-00249,77271.5,112,12,6,App Móvil,Sí,No,1988.6,2024-01-11
PRJ-00250,68975.71,52,13,3,E-commerce,Sí,Sí,1672.1,2024-01-11
PRJ-00251,27083.67,40,14,3,E-commerce,Sí,Sí,827.7,2024-01-11
PRJ-00252,33882.33,216,6,4,App Móvil,Sí,No,940.0,2024-01-11
PRJ-00253,68835.25,145,8,6,E-commerce,No,No,1695.3,2024-01-11
PRJ-00254,28769.15,191,8,1,Sistema SaaS,Sí,No,745.7,2024-01-11
PRJ-00255,17711.96,132,11,4,Portal Web,No,No,664.5,2024-01-11
PRJ-00256,46760.09,272,12,9,Sistema SaaS,No,No,1458.3,2024-01-11
PRJ-00257,75211.61,36,4,7,Sistema SaaS,No,Sí,1904.4,2024-01-11
PRJ-00258,57202.23,201,3,6,E-commerce,No,Sí,1451.1,2024-01-11
PRJ-00259,47754.59,285,6,5,App Móvil,No,Sí,1241.4,2024-01-11
PRJ-00260,12288.24,276,13,2,App Móvil,Sí,No,543.0,2024-01-11
PRJ-00261,51125.54,221,2,2,Sistema SaaS,Sí,No,1123.4,2024-01-11
PRJ-00262,79254.04,143,3,6,Portal Web,Sí,No,1909.8,2024-01-11
PRJ-00263,15506.3,52,14,9,Sistema SaaS,No,Sí,900.5,2024-01-11
PRJ-00264,43874.72,343,8,9,Portal Web,No,No,1357.3,2024-01-11
PRJ-00265,70802.98,305,4,1,Portal Web,No,Sí,1505.6,2024-01-12
PRJ-00266,60557.65,165,9,7,Sistema SaaS,Sí,No,1627.9,2024-01-12
PRJ-00267,57276.18,224,13,7,Sistema SaaS,Sí,No,1572.4,2024-01-12
PRJ-00268,57686.31,287,6,2,E-commerce,Sí,Sí,1266.6,2024-01-12
PRJ-00269,31961.84,307,1,4,Portal Web,Sí,No,776.8,2024-01-12
PRJ-00270,27019.39,99,8,8,Sistema SaaS,Sí,Sí,985.1,2024-01-12
PRJ-00271,65702.09,65,4,6,E-commerce,No,No,1607.2,2024-01-12
PRJ-00272,65758.5,137,4,7,Portal Web,No,No,1654.9,2024-01-12
PRJ-00273,70030.42,53,3,6,Sistema SaaS,Sí,Sí,1696.1,2024-01-12
PRJ-00274,73493.04,169,7,9,Portal Web,Sí,No,1959.0,2024-01-12
PRJ-00275,43350.68,51,10,9,Portal Web,Sí,Sí,1384.2,2024-01-12
PRJ-00276,42613.72,358,3,6,App Móvil,Sí,Sí,1140.7,2024-01-12
PRJ-00277,64872.14,233,1,6,E-commerce,Sí,Sí,1627.7,2024-01-12
PRJ-00278,53747.29,253,4,9,App Móvil,No,No,1522.9,2024-01-12
PRJ-00279,57647.52,252,2,9,App Móvil,No,No,1606.9,2024-01-12
PRJ-00280,64684.45,110,3,3,App Móvil,No,No,1433.8,2024-01-12
PRJ-00281,71750.4,359,2,7,Sistema SaaS,Sí,Sí,1807.4,2024-01-12
PRJ-00282,30349.64,220,6,3,App Móvil,No,Sí,800.3,2024-01-12
PRJ-00283,33168.72,315,13,4,App Móvil,No,Sí,1069.4,2024-01-12
PRJ-00284,12048.65,176,5,9,Portal Web,No,No,673.2,2024-01-12
PRJ-00285,48371.01,311,1,8,App Móvil,No,Sí,1312.7,2024-01-12
PRJ-00286,7695.67,40,10,6,Portal Web,No,No,539.2,2024-01-12
PRJ-00287,39919.85,305,14,6,E-commerce,Sí,Sí,1227.5,2024-01-12
PRJ-00288,45698.35,85,13,8,Portal Web,Sí,No,1400.7,2024-01-12
PRJ-00289,26490.59,202,7,2,Sistema SaaS,Sí,No,740.7,2024-01-13
PRJ-00290,49312.49,332,4,5,App Móvil,No,No,1293.5,2024-01-13
PRJ-00291,7287.52,233,5,7,Sistema SaaS,Sí,No,512.2,2024-01-13
PRJ-00292,7801.11,277,7,3,E-commerce,No,Sí,400.3,2024-01-13
PRJ-00293,66695.04,343,10,8,Sistema SaaS,Sí,No,1849.5,2024-01-13
PRJ-00294,32014.3,295,10,3,Portal Web,Sí,Sí,895.0,2024-01-13
PRJ-00295,14529.54,51,11,4,App Móvil,No,No,585.8,2024-01-13
PRJ-00296,44168.24,356,6,6,Portal Web,Sí,Sí,1257.4,2024-01-13
PRJ-00297,62749.52,53,14,6,Sistema SaaS,No,Sí,1721.1,2024-01-13
PRJ-00298,21186.58,223,10,2,Portal Web,Sí,No,602.4,2024-01-13
PRJ-00299,51716.79,125,2,2,Sistema SaaS,Sí,Sí,1183.7,2024-01-13
PRJ-00300,11401.06,292,1,3,Sistema SaaS,No,No,349.5,2024-01-13
PRJ-00301,8876.13,101,2,3,Sistema SaaS,No,No,346.0,2024-01-13
PRJ-00302,44851.6,272,14,4,Sistema SaaS,No,Sí,1224.6,2024-01-13
PRJ-00303,45547.63,67,7,4,E-commerce,No,Sí,1179.1,2024-01-13
PRJ-00304,52807.24,118,3,4,App Móvil,Sí,Sí,1275.0,2024-01-13
PRJ-00305,59456.85,57,7,3,Portal Web,Sí,Sí,1463.9,2024-01-13
PRJ-00306,78188.91,121,14,1,Portal Web,Sí,No,1736.2,2024-01-13
PRJ-00307,43722.53,83,3,9,Portal Web,No,Sí,1296.2,2024-01-13
PRJ-00308,29221.74,188,14,2,Sistema SaaS,No,No,830.8,2024-01-13
PRJ-00309,64638.96,257,6,3,Sistema SaaS,Sí,No,1508.0,2024-01-13
PRJ-00310,25312.42,70,12,2,App Móvil,No,Sí,732.4,2024-01-13
PRJ-00311,37922.86,66,5,6,App Móvil,Sí,Sí,1033.5,2024-01-13
PRJ-00312,10884.23,154,9,6,App Móvil,No,Sí,614.1,2024-01-13
PRJ-00313,6901.31,208,0,1,Portal Web,Sí,No,216.4,2024-01-14
PRJ-00314,77198.63,361,12,4,App Móvil,Sí,No,1878.8,2024-01-14
PRJ-00315,67698.51,66,10,5,Sistema SaaS,No,No,1687.6,2024-01-14
PRJ-00316,57198.07,130,7,6,App Móvil,Sí,No,1503.1,2024-01-14
